SUPERMERCADO TRADICAO LTDA;;;;;;;;;;;;;;;
CEP 12248440 SAO JOSE DOS CAMPOS - SP;;;;;;;;;;;;;;;
CNPJ: 47.692.182/0001-72;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código Barras;Data Venda;Descrição;Curva;Pedido?;Estoque Atual;Cobertura;Descrição Grupo;Descrição Seção;Descrição SubGrupo;Desc. Fornecedor Pref;Mark-Down;Qtd.Embalagem Compra;Valor Venda;Custo c/Imp;Venda Média
7,89199E+12;24/12/2025;CERV BUDWEISER GF 300ML RET;A;Não;224;58;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PURO MALTE;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;14,92%;24;3,15;2,68;3,8475
7,89115E+12;24/12/2025;CERV CORONA LN 210ML EXTRA (CORONITA);A;Sim;-2;0;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PILSEN;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;18,45%;24;5,69;4,64;2,102
7,89199E+12;20/12/2025;CERV CORONA LN 330ML EXTRA;A;Sim;-9;0;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PILSEN;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;20,90%;1;7,99;6,32;4,4845
7,89199E+12;20/12/2025;CERV MICHELOB ULTRA LN 330ML LIGHT;A;Sim;0;0;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA SEM GLUTEM;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;26,04%;24;6,99;5,17;2,2342
7,89894E+12;27/11/2025;CERV MOEMIA LT 350ML PILSEN;A;Não;610;47;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PILSEN;ATACADAO S.A. COTACAO;25,10%;12;2,39;1,79;13,1
7,89199E+12;20/12/2025;CERV SPATEN PURO M LT 350ML;A;Sim;0;0;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PURO MALTE;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;24,77%;1;5,49;4,13;2
7,89199E+12;20/12/2025;CERV STELLA ARTOIS PURO M LN 330ML PURE GOLD;A;Não;0;0;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PURO MALTE;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;20,46%;24;6,99;5,56;1,4845
7,89997E+12;24/12/2025;CHOC BARRA HERSHEYS 82G 40% CACAU MEIO AMARGO;A;Não;1;1;BOMBONIER;MERCEARIA DOCE;CHOCOLATES E BOMBONS;UNIVALE DIST ALIMENTOS E REPR COM LTDA;42,04%;1;9,99;6,18;0,9
7,62221E+12;24/12/2025;CHOC BARRA LACTA 80G AO LEITE;A;Não;34;32;BOMBONIER;MERCEARIA DOCE;CHOCOLATES E BOMBONS;TRIUNFANTE BRASIL DISTRIBUIDORA DE ALIMENTOS S/A;43,20%;17;11,99;7,29;1,0667
7,62221E+12;24/12/2025;CHOC BARRA LACTA 80G LAKA/DIAMANTE N;A;Não;20;22;BOMBONIER;MERCEARIA DOCE;CHOCOLATES E BOMBONS;TRIUNFANTE BRASIL DISTRIBUIDORA DE ALIMENTOS S/A;38,62%;17;11,99;7,79;0,925
7,891E+12;25/12/2025;CHOC BARRA NESTLE 80G SUFLAIR;A;Não;55;70;BOMBONIER;MERCEARIA DOCE;CHOCOLATES E BOMBONS;NESTLE BRASIL LTDA;45,03%;1;13,99;8,27;0,7833
7,89645E+12;17/12/2025;CHUVEIRO LORENZETTI 220V BELA DUCHA;A;Não;1;8;UTILIDADE E OUTROS;BAZAR E UTILIDADES;CHUVEIRO;ARCOM S/A;27,76%;1;99,99;74,8;0,1333
7,90865E+12;26/12/2025;CHUVEIRO ZAGONEL GORDUCHA 4T 220V 5700W;A;Não;3;18;UTILIDADE E OUTROS;BAZAR E UTILIDADES;CHUVEIRO;ARCOM S/A;33,57%;1;79,99;55,62;0,1667
78940185;13/11/2025;CIGARRO PHM CHESTERFIELD SILVER BOX;A;Não;3;2;TABACO;TABACARIA;FILTRO BRANCO;PHILIP MORRIS BRASIL IND. COM. LTDA;7,68%;10;9,5;8,77;1,3417
